word,count
amazon,157
anything,137
boring,107
completely,103
worse,100
shit,97
reason,86
worst,84
stellaris,84
waste,83
paradox,83
refund,82
terrible,82
mobile,72
garbage,70
servers,70
broken,69
literally,69
trash,69
slop,66
due,64
rec,61
anymore,60
company,58
fucking,57
unplayable,56
buggy,55
shut,53
sucks,52
stupid,52
shame,50
horrible,46
abandoned,46
months,46
tanks,45
came,44
tier,44
cash,42
poor,41
toxic,40
crashes,39
killed,38
rng,38
shutting,38
useless,35
raid,35
fuck,34
app,34
damn,34
premium,34
insane,33
ruined,32
awful,32
decided,32
launch,31
joke,31
bother,30
removed,30
greedy,30
assets,28
dollars,28
fixing,27
remove,27
banned,27
became,27
called,26
unfinished,26
hundreds,26
sorry,26
download,26
ban,25
fall,25
theyve,24
taken,24
monetization,24
randomly,23
area,23
suck,23
generative,22
event,21
selling,21
currency,21
matchmaking,21
cheat,20
kills,20
none,20
log,19
refunded,19
uninstalled,19
pointless,19
scam,19
launcher,19
offline,19
linux,18
bugged,18
shop,18
predatory,18
fell,18
allowed,17
wasting,17
releases,17
overpriced,17
wheel,17
ags,17
nonsense,16
dozen,16
spam,16
dollar,16
deleted,16
prices,16
mmorpg,16
shitty,15
user,15
crap,15
excuse,15
usd,15
moderation,15
