threshold_min_reviews_per_game,group_vs_control,metric,diff_point_estimate_pct_points,diff_std_pct_points,diff_ci95_low_pct_points,diff_ci95_high_pct_points
10,Group 1 (Native AI) - Group 3 (Control / No AI),strict_pct,13.511642925183626,2.508357854238018,8.68711460710997,18.483037377230946
10,Group 1 (Native AI) - Group 3 (Control / No AI),soft_pct,14.605741396175793,3.2528805936651506,7.938588450739199,20.630058036884193
10,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),strict_pct,5.914599911536401,3.7073908552556976,-0.7653141510799923,13.291330946592135
10,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),soft_pct,7.032154518263684,5.703240958797081,-3.684696611427987,17.967775229357795
10,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),strict_pct,5.439456696202795,2.3645349068710315,0.8234090097297768,10.127069777267199
10,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),soft_pct,6.844620445542002,3.352539687983074,0.17435241688669614,13.409829853840757
20,Group 1 (Native AI) - Group 3 (Control / No AI),strict_pct,12.09420401196451,2.9911869390937422,6.007658990501927,17.47461704963356
20,Group 1 (Native AI) - Group 3 (Control / No AI),soft_pct,12.756293987621605,4.007225431184035,5.174750449874864,20.499396615506555
20,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),strict_pct,5.356947728623823,3.6902602524257206,-1.6286202972110302,12.560734321779202
20,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),soft_pct,6.093836193175328,6.090955718243606,-5.007202552786936,18.474566711926833
20,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),strict_pct,3.7969909264750994,2.586402100014054,-1.1342472206519691,8.828926408691196
20,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),soft_pct,4.207744461489424,3.7608136933852867,-3.208733470915094,11.192294221201848
30,Group 1 (Native AI) - Group 3 (Control / No AI),strict_pct,11.989156735346423,3.4090746918666763,5.146531686944065,18.702361036118027
30,Group 1 (Native AI) - Group 3 (Control / No AI),soft_pct,12.823881986380897,4.382228873781572,4.562406130841852,21.175542783854826
30,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),strict_pct,6.390580636918152,4.287154213336336,-1.6441154974407068,14.714913606806789
30,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),soft_pct,8.26927104706025,6.440771166311527,-3.4740054403647522,20.91634436793585
30,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),strict_pct,1.837937913473627,2.6790099505021865,-3.4158386580706606,6.985842101923978
30,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),soft_pct,2.2727304722477673,4.140204765547736,-5.5975797352030305,9.999168749726744
40,Group 1 (Native AI) - Group 3 (Control / No AI),strict_pct,9.98895805003161,4.158012111170219,2.1301400527589687,17.801556990282037
40,Group 1 (Native AI) - Group 3 (Control / No AI),soft_pct,11.584021616473448,6.261777251753466,0.1493819906780913,23.155013850818392
40,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),strict_pct,5.391317312346952,4.630458617187895,-3.361204013377926,14.598922735875483
40,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),soft_pct,7.69935749374429,7.855549822140515,-7.016327306139694,23.032670912511467
40,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),strict_pct,0.957825090682594,3.4676545715420373,-5.589023570546411,7.032964768590435
40,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),soft_pct,2.2557165791622737,5.859488084508006,-8.317015300553512,12.704838832842038
50,Group 1 (Native AI) - Group 3 (Control / No AI),strict_pct,9.05411787363295,4.515002779769545,0.7004588312106697,17.957219942920478
50,Group 1 (Native AI) - Group 3 (Control / No AI),soft_pct,8.934177425984085,6.336775133723174,-2.772239316106436,20.841091650958624
50,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),strict_pct,6.106124595669199,5.226868841613334,-4.094968654865694,16.643170426065158
50,Group 2 (AI Added - Historic) - Group 3 (Control / No AI),soft_pct,8.767098722340473,8.109623656195046,-7.100739111380799,23.777777777777775
50,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),strict_pct,-0.9022684898398886,3.6627863193639194,-7.500054944167755,6.049053823358885
50,Group 2 (AI Added - Recent) - Group 3 (Control / No AI),soft_pct,-1.759790967126505,5.861340113229558,-12.436967091048883,8.583514931651559
