threshold_min_reviews_per_game,BA_Group,metric,n_games_kept,n_reviews_kept,point_estimate_pct,boot_mean_pct,boot_std_pct,boot_ci95_low_pct,boot_ci95_high_pct
10,Group 1 (Native AI),strict_pct,133,5438,15.9801397572637,16.08294756330089,2.075503735426343,12.289471007976235,20.20014733062056
10,Group 1 (Native AI),soft_pct,133,5438,25.836704670834866,25.8424184049857,1.9918328396940115,22.09499975914718,29.763363524786286
10,Group 2 (AI Added - Historic),strict_pct,14,590,8.64406779661017,8.485904549653664,3.3295245451534443,2.458944492378487,14.927238805970147
10,Group 2 (AI Added - Historic),soft_pct,14,590,18.47457627118644,18.268831527073594,5.029724557326341,8.924655388471178,28.335317460317455
10,Group 2 (AI Added - Recent),strict_pct,36,1898,7.903055848261328,8.010761334320057,1.847025349459456,4.7014192078503125,11.932306439594251
10,Group 2 (AI Added - Recent),soft_pct,36,1898,17.860906217070603,18.08129745435191,2.0902897375227742,14.22343750669931,22.36226641541602
10,Group 3 (Control / No AI),strict_pct,23,641,2.65210608424337,2.571304638117263,1.4712770639824442,0.44216861737558283,5.519417450514976
10,Group 3 (Control / No AI),soft_pct,23,641,11.388455538221528,11.23667700880991,2.60817580131367,6.6801215775002865,16.572257854028074
20,Group 1 (Native AI),strict_pct,76,4676,15.33361847733105,15.17516255266646,2.355962557900461,10.893422724205355,19.93729405699875
20,Group 1 (Native AI),soft_pct,76,4676,24.935842600513258,24.91895561885996,2.352020280665588,20.70157241962392,29.63803682908141
20,Group 2 (AI Added - Historic),strict_pct,14,590,8.64406779661017,8.437906269325778,3.313799091586117,2.5,15.345535254760678
20,Group 2 (AI Added - Historic),soft_pct,14,590,18.47457627118644,18.256497824413685,5.127061948374314,8.546541826134499,28.98779264214047
20,Group 2 (AI Added - Recent),strict_pct,26,1764,6.746031746031746,6.877949467177053,1.779580832751115,3.7852619655780573,10.771171693735496
20,Group 2 (AI Added - Recent),soft_pct,26,1764,16.383219954648524,16.37040609272778,1.9168947822590974,12.89470725163734,20.308830849975266
20,Group 3 (Control / No AI),strict_pct,11,474,3.1645569620253164,3.080958540701953,1.8327987978205502,0.27984778817187256,6.70196399815965
20,Group 3 (Control / No AI),soft_pct,11,474,12.447257383966246,12.162661631238356,3.2615346395839935,6.865424649800643,18.595653608885915
30,Group 1 (Native AI),strict_pct,52,4095,15.335775335775336,15.399486779908788,2.705410310729843,10.316773239340908,21.008128522161847
30,Group 1 (Native AI),soft_pct,52,4095,25.177045177045176,25.25783355954171,2.663370064273411,20.369515786616788,30.738595236463915
30,Group 2 (AI Added - Historic),strict_pct,11,530,9.622641509433963,9.800910681480522,3.6475026044866388,2.829433962264151,16.85185185185185
30,Group 2 (AI Added - Historic),soft_pct,11,530,20.566037735849058,20.70322262022107,5.223683303461093,11.567147613762486,31.48689727463312
30,Group 2 (AI Added - Recent),strict_pct,18,1570,5.286624203821656,5.248267958035996,1.529230392018609,2.555843327095479,8.473975150919555
30,Group 2 (AI Added - Recent),soft_pct,18,1570,14.64968152866242,14.70668204540858,1.8605198864127,11.404178692753696,18.720605694869892
30,Group 3 (Control / No AI),strict_pct,8,406,3.6945812807881775,3.4103300445623685,2.1412549097018196,0.29411764705882354,7.662781077510093
30,Group 3 (Control / No AI),soft_pct,8,406,12.807881773399016,12.433951573160815,3.6526427763032845,6.060097620500305,19.382592288069485
40,Group 1 (Native AI),strict_pct,35,3509,14.249073810202336,14.228161649668369,2.9042657826930456,9.017610516695308,20.329811579304483
40,Group 1 (Native AI),soft_pct,35,3509,24.223425477343973,24.223396823750072,2.892288463385031,19.090505425151882,30.2828692730763
40,Group 2 (AI Added - Historic),strict_pct,11,530,9.622641509433963,9.630520911983712,3.569414640364929,2.941176470588235,16.990566037735842
40,Group 2 (AI Added - Historic),soft_pct,11,530,20.566037735849058,20.338732701020916,5.5385496811583375,10.171296296296296,31.45521885521886
40,Group 2 (AI Added - Recent),strict_pct,17,1535,5.276872964169381,5.197028690319352,1.5603939967143374,2.285313751668892,8.434994829528792
40,Group 2 (AI Added - Recent),soft_pct,17,1535,14.723127035830618,14.895091786438899,1.9397701689052014,11.463178495630832,18.92245541315292
40,Group 3 (Control / No AI),strict_pct,4,271,4.797047970479705,4.239203599636759,3.0207172241831106,0.0,10.30640668523677
40,Group 3 (Control / No AI),soft_pct,4,271,13.653136531365314,12.639375207276625,5.575364739561808,2.941176470588235,23.011363636363637
50,Group 1 (Native AI),strict_pct,29,3248,14.378078817733991,14.372882166852644,3.128146898199687,8.561832115889692,21.089072599730724
50,Group 1 (Native AI),soft_pct,29,3248,24.076354679802954,24.10752314808806,3.2114838497801363,17.872098086020433,30.651676069529977
50,Group 2 (AI Added - Historic),strict_pct,9,450,11.333333333333332,11.424888888888889,4.070670802279843,3.994444444444445,19.555555555555557
50,Group 2 (AI Added - Historic),soft_pct,9,450,24.22222222222222,23.940444444444445,5.781225394402821,13.105555555555556,35.333333333333336
50,Group 2 (AI Added - Recent),strict_pct,13,1355,4.428044280442804,4.416495803379802,1.646889896937178,1.5662417182364374,7.942840046965317
50,Group 2 (AI Added - Recent),soft_pct,13,1355,13.579335793357933,13.413554754977469,2.111451407186076,9.824926122636947,17.839751144707254
50,Group 3 (Control / No AI),strict_pct,3,228,5.701754385964912,5.318764293219689,3.2673266108579737,0.0,11.650485436893204
50,Group 3 (Control / No AI),soft_pct,3,228,16.228070175438596,15.173345722103972,5.540770974004096,8.0,26.21359223300971
